ward,ward_count,ward_prop
15,15,0.11719
1,12,0.09375
5,9,0.07031
12,8,0.0625
47,6,0.04688
25,5,0.03906
33,5,0.03906
35,5,0.03906
46,5,0.03906
2,4,0.03125
3,4,0.03125
4,4,0.03125
11,4,0.03125
30,4,0.03125
9,3,0.02344
28,3,0.02344
40,3,0.02344
48,3,0.02344
49,3,0.02344
14,2,0.01562
27,2,0.01562
34,2,0.01562
44,2,0.01562
6,1,0.00781
8,1,0.00781
10,1,0.00781
16,1,0.00781
19,1,0.00781
20,1,0.00781
23,1,0.00781
24,1,0.00781
26,1,0.00781
29,1,0.00781
32,1,0.00781
41,1,0.00781
42,1,0.00781
45,1,0.00781
50,1,0.00781
13,0,0
17,0,0
18,0,0
21,0,0
22,0,0
31,0,0
36,0,0
37,0,0
38,0,0
39,0,0
43,0,0
7,0,0
