"CHI_COMM_AREA_NAME","count","proportion"
"Brighton Park",30,0.11194
"Near South Side",21,0.07836
"Hyde Park",17,0.06343
"West Town",16,0.0597
"Logan Square",14,0.05224
"Near West Side",13,0.04851
"Uptown",13,0.04851
"Bridgeport",9,0.03358
"Edgewater",8,0.02985
"Lake View",8,0.02985
"Lincoln Square",8,0.02985
"Rogers Park",8,0.02985
"Albany Park",6,0.02239
"Avondale",6,0.02239
"Irving Park",6,0.02239
"Loop",6,0.02239
"Lower West Side",6,0.02239
"South Chicago",5,0.01866
"Humboldt Park",4,0.01493
"Kenwood",4,0.01493
"South Lawndale",4,0.01493
"South Shore",4,0.01493
"Woodlawn",4,0.01493
"Mckinley Park",3,0.01119
"Near North Side",3,0.01119
"North Center",3,0.01119
"Oakland",3,0.01119
"Archer Heights",2,0.00746
"Douglas",2,0.00746
"Jefferson Park",2,0.00746
"Portage Park",2,0.00746
"Washington Park",2,0.00746
"West Pullman",2,0.00746
"West Ridge",2,0.00746
"Ashburn",1,0.00373
"Auburn Gresham",1,0.00373
"Austin",1,0.00373
"Belmont Cragin",1,0.00373
"Beverly",1,0.00373
"Burnside",1,0.00373
"Calumet Heights",1,0.00373
"Chatham",1,0.00373
"East Garfield Park",1,0.00373
"East Side",1,0.00373
"Englewood",1,0.00373
"Gage Park",1,0.00373
"Garfield Ridge",1,0.00373
"Grand Boulevard",1,0.00373
"Greater Grand Crossing",1,0.00373
"Lincoln Park",1,0.00373
"Montclare",1,0.00373
"Morgan Park",1,0.00373
"North Lawndale",1,0.00373
"Norwood Park",1,0.00373
"Riverdale",1,0.00373
"West Englewood",1,0.00373
